stimulus_id;stimulus_trigger_code;full_label;file_name
A1;1;A1_drums;A1_drums_250ms_cut_fadeout.wav
A2;2;A2_drums;A2_drums_250ms_cut.wav
A3;3;A3_drums;A3_drums_250ms_cut_fadeout.wav
B;4;B_drums;B_drums_250ms_cut_fadeout.wav
C1;11;C1_drums;C1_drums_250ms_cut_fadeout.wav
C2;12;C2_drums;C2_drums_250ms_cut_fadeout.wav
C3;13;C3_drums;C3_drums_250ms_no_change.wav
D;14;D_drums;D_drums_250ms_cut_fadeout.wav
E1;21;E1_drums;E1_drums_250ms_cut.wav
E2;22;E2_drums;E2_drums_250ms_cut_fadeout.wav
E3;23;E3_drums;E3_drums_250ms_cut_fadeout.wav
F;24;F_drums;F_drums_250ms_cut.wav
silence_intersequence_250ms;90;silence_intersequence_250ms;X_silence-intersequence-250ms.wav
silence_interblock_1250ms;99;silence_interblock_1250ms;X_silence-interblock-1250ms.wav
