stimulus_id;stimulus_trigger_code;full_label;file_name
A1;1;A1_speech_kof;A1_kof_250ms_susan_150speed_final_restretch.wav
A2;2;A2_speech_daz;A2_daz_250ms_susan_150speed_final_no_restretch.wav
A3;3;A3_speech_mer;A3_mer_250ms_susan_150speed_final_no_restretch.wav
B;4;B_speech_neb;B_neb_250ms_susan_150speed_final_no_restretch.wav
C1;11;C1_speech_jes;C1_jes_250ms_susan_150speed_final_restretch.wav
C2;12;C2_speech_tid;C2_tid_250ms_susan_150speed_final_no_restretch.wav
C3;13;C3_speech_sot;C3_sot_250ms_susan_150speed_final_no_restretch.wav
D;14;D_speech_zor;D_zor_250ms_susan_150speed_final_restretch.wav
E1;21;E1_speech_fal;E1_fal_250ms_susan_150speed_final_restretch.wav
E2;22;E2_speech_taf;E2_taf_250ms_susan_150speed_final_no_restretch.wav
E3;23;E3_speech_ker;E3_ker_250ms_susan_150speed_final_no_restretch.wav
F;24;F_speech_nav;F_nav_250ms_susan_150speed_final_no_restretch.wav
silence_intersequence_250ms;90;silence_intersequence_250ms;
silence_interblock_1250ms;99;silence_interblock_1250ms;
