"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1","local",1,1,1,"A2.B.E3.F.A3.B.",1,"A2",2,8,15
"2","local",2,1,1,"A2.B.E3.F.A3.B.",2,"B",4,8,15
"3","local",3,1,1,"A2.B.E3.F.A3.B.",3,"E3",23,8,15
"4","local",4,1,1,"A2.B.E3.F.A3.B.",4,"F",24,8,15
"5","local",5,1,1,"A2.B.E3.F.A3.B.",5,"A3",3,8,15
"6","local",6,1,1,"A2.B.E3.F.A3.B.",6,"B",4,8,15
"7","local",7,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"8","local",8,2,1,"A3.B.E1.F.A1.B.C1.D.",1,"A3",3,28,15
"9","local",9,2,1,"A3.B.E1.F.A1.B.C1.D.",2,"B",4,28,15
"10","local",10,2,1,"A3.B.E1.F.A1.B.C1.D.",3,"E1",21,28,15
"11","local",11,2,1,"A3.B.E1.F.A1.B.C1.D.",4,"F",24,28,15
"12","local",12,2,1,"A3.B.E1.F.A1.B.C1.D.",5,"A1",1,28,15
"13","local",13,2,1,"A3.B.E1.F.A1.B.C1.D.",6,"B",4,28,15
"14","local",14,2,1,"A3.B.E1.F.A1.B.C1.D.",7,"C1",11,28,15
"15","local",15,2,1,"A3.B.E1.F.A1.B.C1.D.",8,"D",14,28,15
"16","local",16,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"17","local",17,3,1,"C3.D.A3.B.C1.D.E2.F.",1,"C3",13,29,15
"18","local",18,3,1,"C3.D.A3.B.C1.D.E2.F.",2,"D",14,29,15
"19","local",19,3,1,"C3.D.A3.B.C1.D.E2.F.",3,"A3",3,29,15
"20","local",20,3,1,"C3.D.A3.B.C1.D.E2.F.",4,"B",4,29,15
"21","local",21,3,1,"C3.D.A3.B.C1.D.E2.F.",5,"C1",11,29,15
"22","local",22,3,1,"C3.D.A3.B.C1.D.E2.F.",6,"D",14,29,15
"23","local",23,3,1,"C3.D.A3.B.C1.D.E2.F.",7,"E2",22,29,15
"24","local",24,3,1,"C3.D.A3.B.C1.D.E2.F.",8,"F",24,29,15
"25","local",25,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"26","local",26,4,1,"C3.D.A1.B.",1,"C3",13,1,15
"27","local",27,4,1,"C3.D.A1.B.",2,"D",14,1,15
"28","local",28,4,1,"C3.D.A1.B.",3,"A1",1,1,15
"29","local",29,4,1,"C3.D.A1.B.",4,"B",4,1,15
"30","local",30,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"31","local",31,5,1,"C1.D.A1.B.C2.D.A2.B.",1,"C1",11,26,15
"32","local",32,5,1,"C1.D.A1.B.C2.D.A2.B.",2,"D",14,26,15
"33","local",33,5,1,"C1.D.A1.B.C2.D.A2.B.",3,"A1",1,26,15
"34","local",34,5,1,"C1.D.A1.B.C2.D.A2.B.",4,"B",4,26,15
"35","local",35,5,1,"C1.D.A1.B.C2.D.A2.B.",5,"C2",12,26,15
"36","local",36,5,1,"C1.D.A1.B.C2.D.A2.B.",6,"D",14,26,15
"37","local",37,5,1,"C1.D.A1.B.C2.D.A2.B.",7,"A2",2,26,15
"38","local",38,5,1,"C1.D.A1.B.C2.D.A2.B.",8,"B",4,26,15
"39","local",39,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"40","local",40,6,1,"C1.D.E3.F.A2.B.C2.D.",1,"C1",11,13,15
"41","local",41,6,1,"C1.D.E3.F.A2.B.C2.D.",2,"D",14,13,15
"42","local",42,6,1,"C1.D.E3.F.A2.B.C2.D.",3,"E3",23,13,15
"43","local",43,6,1,"C1.D.E3.F.A2.B.C2.D.",4,"F",24,13,15
"44","local",44,6,1,"C1.D.E3.F.A2.B.C2.D.",5,"A2",2,13,15
"45","local",45,6,1,"C1.D.E3.F.A2.B.C2.D.",6,"B",4,13,15
"46","local",46,6,1,"C1.D.E3.F.A2.B.C2.D.",7,"C2",12,13,15
"47","local",47,6,1,"C1.D.E3.F.A2.B.C2.D.",8,"D",14,13,15
"48","local",48,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"49","local",49,7,1,"E3.F.A2.B.E1.F.A1.B.",1,"E3",23,32,15
"50","local",50,7,1,"E3.F.A2.B.E1.F.A1.B.",2,"F",24,32,15
"51","local",51,7,1,"E3.F.A2.B.E1.F.A1.B.",3,"A2",2,32,15
"52","local",52,7,1,"E3.F.A2.B.E1.F.A1.B.",4,"B",4,32,15
"53","local",53,7,1,"E3.F.A2.B.E1.F.A1.B.",5,"E1",21,32,15
"54","local",54,7,1,"E3.F.A2.B.E1.F.A1.B.",6,"F",24,32,15
"55","local",55,7,1,"E3.F.A2.B.E1.F.A1.B.",7,"A1",1,32,15
"56","local",56,7,1,"E3.F.A2.B.E1.F.A1.B.",8,"B",4,32,15
"57","local",57,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"58","local",58,8,1,"E1.F.C3.D.E1.F.A1.B.",1,"E1",21,30,15
"59","local",59,8,1,"E1.F.C3.D.E1.F.A1.B.",2,"F",24,30,15
"60","local",60,8,1,"E1.F.C3.D.E1.F.A1.B.",3,"C3",13,30,15
"61","local",61,8,1,"E1.F.C3.D.E1.F.A1.B.",4,"D",14,30,15
"62","local",62,8,1,"E1.F.C3.D.E1.F.A1.B.",5,"E1",21,30,15
"63","local",63,8,1,"E1.F.C3.D.E1.F.A1.B.",6,"F",24,30,15
"64","local",64,8,1,"E1.F.C3.D.E1.F.A1.B.",7,"A1",1,30,15
"65","local",65,8,1,"E1.F.C3.D.E1.F.A1.B.",8,"B",4,30,15
"66","local",66,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"67","local",67,9,1,"A3.B.C1.D.E1.F.C3.D.",1,"A3",3,16,15
"68","local",68,9,1,"A3.B.C1.D.E1.F.C3.D.",2,"B",4,16,15
"69","local",69,9,1,"A3.B.C1.D.E1.F.C3.D.",3,"C1",11,16,15
"70","local",70,9,1,"A3.B.C1.D.E1.F.C3.D.",4,"D",14,16,15
"71","local",71,9,1,"A3.B.C1.D.E1.F.C3.D.",5,"E1",21,16,15
"72","local",72,9,1,"A3.B.C1.D.E1.F.C3.D.",6,"F",24,16,15
"73","local",73,9,1,"A3.B.C1.D.E1.F.C3.D.",7,"C3",13,16,15
"74","local",74,9,1,"A3.B.C1.D.E1.F.C3.D.",8,"D",14,16,15
"75","local",75,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"76","local",76,10,1,"C2.D.A1.B.E2.F.A2.B.",1,"C2",12,19,15
"77","local",77,10,1,"C2.D.A1.B.E2.F.A2.B.",2,"D",14,19,15
"78","local",78,10,1,"C2.D.A1.B.E2.F.A2.B.",3,"A1",1,19,15
"79","local",79,10,1,"C2.D.A1.B.E2.F.A2.B.",4,"B",4,19,15
"80","local",80,10,1,"C2.D.A1.B.E2.F.A2.B.",5,"E2",22,19,15
"81","local",81,10,1,"C2.D.A1.B.E2.F.A2.B.",6,"F",24,19,15
"82","local",82,10,1,"C2.D.A1.B.E2.F.A2.B.",7,"A2",2,19,15
"83","local",83,10,1,"C2.D.A1.B.E2.F.A2.B.",8,"B",4,19,15
"84","local",84,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"85","local",85,11,1,"E2.F.C3.D.A1.B.",1,"E2",22,10,15
"86","local",86,11,1,"E2.F.C3.D.A1.B.",2,"F",24,10,15
"87","local",87,11,1,"E2.F.C3.D.A1.B.",3,"C3",13,10,15
"88","local",88,11,1,"E2.F.C3.D.A1.B.",4,"D",14,10,15
"89","local",89,11,1,"E2.F.C3.D.A1.B.",5,"A1",1,10,15
"90","local",90,11,1,"E2.F.C3.D.A1.B.",6,"B",4,10,15
"91","local",91,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"92","local",92,12,1,"A2.B.C2.D.A3.B.C1.D.",1,"A2",2,33,15
"93","local",93,12,1,"A2.B.C2.D.A3.B.C1.D.",2,"B",4,33,15
"94","local",94,12,1,"A2.B.C2.D.A3.B.C1.D.",3,"C2",12,33,15
"95","local",95,12,1,"A2.B.C2.D.A3.B.C1.D.",4,"D",14,33,15
"96","local",96,12,1,"A2.B.C2.D.A3.B.C1.D.",5,"A3",3,33,15
"97","local",97,12,1,"A2.B.C2.D.A3.B.C1.D.",6,"B",4,33,15
"98","local",98,12,1,"A2.B.C2.D.A3.B.C1.D.",7,"C1",11,33,15
"99","local",99,12,1,"A2.B.C2.D.A3.B.C1.D.",8,"D",14,33,15
"100","local",100,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"101","local",101,13,1,"E3.F.A1.B.E1.F.",1,"E3",23,6,15
"102","local",102,13,1,"E3.F.A1.B.E1.F.",2,"F",24,6,15
"103","local",103,13,1,"E3.F.A1.B.E1.F.",3,"A1",1,6,15
"104","local",104,13,1,"E3.F.A1.B.E1.F.",4,"B",4,6,15
"105","local",105,13,1,"E3.F.A1.B.E1.F.",5,"E1",21,6,15
"106","local",106,13,1,"E3.F.A1.B.E1.F.",6,"F",24,6,15
