"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1","unstructured",1,1,1,"C2.B.D.E2.A3.D.F.B.",1,"C2",12,29,16
"2","unstructured",2,1,1,"C2.B.D.E2.A3.D.F.B.",2,"B",4,29,16
"3","unstructured",3,1,1,"C2.B.D.E2.A3.D.F.B.",3,"D",14,29,16
"4","unstructured",4,1,1,"C2.B.D.E2.A3.D.F.B.",4,"E2",22,29,16
"5","unstructured",5,1,1,"C2.B.D.E2.A3.D.F.B.",5,"A3",3,29,16
"6","unstructured",6,1,1,"C2.B.D.E2.A3.D.F.B.",6,"D",14,29,16
"7","unstructured",7,1,1,"C2.B.D.E2.A3.D.F.B.",7,"F",24,29,16
"8","unstructured",8,1,1,"C2.B.D.E2.A3.D.F.B.",8,"B",4,29,16
"9","unstructured",9,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"10","unstructured",10,2,1,"F.C1.E2.C1.A1.E2.F.A1.",1,"F",24,20,16
"11","unstructured",11,2,1,"F.C1.E2.C1.A1.E2.F.A1.",2,"C1",11,20,16
"12","unstructured",12,2,1,"F.C1.E2.C1.A1.E2.F.A1.",3,"E2",22,20,16
"13","unstructured",13,2,1,"F.C1.E2.C1.A1.E2.F.A1.",4,"C1",11,20,16
"14","unstructured",14,2,1,"F.C1.E2.C1.A1.E2.F.A1.",5,"A1",1,20,16
"15","unstructured",15,2,1,"F.C1.E2.C1.A1.E2.F.A1.",6,"E2",22,20,16
"16","unstructured",16,2,1,"F.C1.E2.C1.A1.E2.F.A1.",7,"F",24,20,16
"17","unstructured",17,2,1,"F.C1.E2.C1.A1.E2.F.A1.",8,"A1",1,20,16
"18","unstructured",18,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"19","unstructured",19,3,1,"A3.B.A3.E3.D.F.C3.F.",1,"A3",3,27,16
"20","unstructured",20,3,1,"A3.B.A3.E3.D.F.C3.F.",2,"B",4,27,16
"21","unstructured",21,3,1,"A3.B.A3.E3.D.F.C3.F.",3,"A3",3,27,16
"22","unstructured",22,3,1,"A3.B.A3.E3.D.F.C3.F.",4,"E3",23,27,16
"23","unstructured",23,3,1,"A3.B.A3.E3.D.F.C3.F.",5,"D",14,27,16
"24","unstructured",24,3,1,"A3.B.A3.E3.D.F.C3.F.",6,"F",24,27,16
"25","unstructured",25,3,1,"A3.B.A3.E3.D.F.C3.F.",7,"C3",13,27,16
"26","unstructured",26,3,1,"A3.B.A3.E3.D.F.C3.F.",8,"F",24,27,16
"27","unstructured",27,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"28","unstructured",28,4,1,"E1.F.D.B.C1.A2.D.B.",1,"E1",21,24,16
"29","unstructured",29,4,1,"E1.F.D.B.C1.A2.D.B.",2,"F",24,24,16
"30","unstructured",30,4,1,"E1.F.D.B.C1.A2.D.B.",3,"D",14,24,16
"31","unstructured",31,4,1,"E1.F.D.B.C1.A2.D.B.",4,"B",4,24,16
"32","unstructured",32,4,1,"E1.F.D.B.C1.A2.D.B.",5,"C1",11,24,16
"33","unstructured",33,4,1,"E1.F.D.B.C1.A2.D.B.",6,"A2",2,24,16
"34","unstructured",34,4,1,"E1.F.D.B.C1.A2.D.B.",7,"D",14,24,16
"35","unstructured",35,4,1,"E1.F.D.B.C1.A2.D.B.",8,"B",4,24,16
"36","unstructured",36,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"37","unstructured",37,5,1,"B.F.A2.D.B.D.",1,"B",4,11,16
